Text,Positive Value,Negative Value,Difference,Word Count
"BOOK ONE: FEAR Brrrrrrriiiiiiiiiiiiiiiiiiinng! An alarm clock clanged in the dark and silent room. A bed spring creaked. A woman's voice sang out impatiently: ""Bigger, shut that thing off!"" A surly grunt sounded above the tinny ring of metal. Naked feet swished dryly across the planks in the wooden floor and the clang ceased abruptly. ""Turn on the light, Bigger."" ""Awright,"" came a sleepy mumble. Light flooded the room and revealed a black boy standing in a narrow space between two iron beds, rubbing his eyes with the backs of his hands. From a bed to his right the woman spoke again: ""Buddy, get up from there! I got a big washing on my hands today and I want you-all out of here."" Another black boy rolled from bed and stood up. The woman also rose and stood in her nightgown. ""Turn your heads so I can dress,"" she said. The two boys averted their eyes and gazed into a far corner of the room. The woman rushed out of her nightgown and put on a pair of step-ins. She turned to the bed from which she had risen and called: ""Vera! Get up from there!"" ""What time is it, Ma?"" asked a muffled, adolescent voice from beneath a quilt. ""Get up from there, I say!"" ""O.K., Ma.""A brown-skinned girl in a cotton gown got up and stretched her arms above her head and yawned. Sleepily, she sat on a chair and fumbled with her stockings. The two boys kept their faces averted while their mother and sister put on enough clothes to keep them from feeling ashamed; and the mother and sister did the same while the boys dressed. Abruptly, they all paused, holding their clothes in their hands, their attention caught by a light tapping in the thinly plastered walls of the room. They forgot their conspiracy against shame and their eyes strayed apprehensively over the floor. ""There he is again, Bigger!"" the woman screamed, and the tiny, one-room apartment galvanized into violent action. A chair toppled as the woman, half-dressed and in her stocking feet, scrambled breathlessly upon the bed. Her two sons, barefoot, stood tense and motionless, their eyes searching anxiously under the bed and chairs. The girl ran into a corner, half-stooped and gathered the hem of her slip into both of her hands and held it tightly over her knees.  Oh! Oh! ù she wailed.   There he goes! ù The woman pointed a shaking finger. Her eyes were round with fascinated horror.  Where? ù  I don t see  im! ù Bigger, he s behind the trunk! ù the girl whimpered.  Vera! ù the woman screamed.  Get up here on the bed! Don t let that thing bite you! ù Frantically, Vera climbed upon the bed and the woman caught hold of her. With their arms entwined about each other, the black mother and the brown daughter gazed open-mouthed at the trunk in the corner. Bigger looked round the room wildly, then darted to a curtain and swept it aside and grabbed two heavy iron skillets from a wall above a gas stove. He whirled and called softly to his brother, his eyes glued to the trunk.  Buddy! ù  Yeah? ù  Here; take this skillet. ù  ù  Now, get over by the door! ù  ù Buddy crouched by the door and held the iron skillet by its handle, his arm flexed and poised. Save for the quick, deep breathing of the four people, the room was quiet. Bigger crept on tiptoe toward the trunk with the skillet clutched stiffly in his hand, his eyes dancing and watching every inch of the wooden floor in front of him.He paused and, without moving an eye or muscle, called:  Buddy! ù  Hunh? ù  Put that box in front of the hole so he can t get out! ù  ù Buddy ran to a wooden box and shoved it quickly in front of a gaping hole in the molding and then backed again to the door, holding the skillet ready. Bigger eased to the trunk and peered behind it ",0.018099548,0.034690799,-0.016591252,680
cautiously. ,0.5,0,0.5,1
"He saw nothing. Carefully, he stuck out his bare foot and pushed the trunk a few inches.  There he is! ù the mother screamed again. A huge black rat squealed and leaped at Bigger s trouser-leg and snagged it in his teeth, hanging on.  Goddamn! ù Bigger whispered fiercely, whirling and kicking out his leg with all the strength of his body. The force of his movement shook the rat loose and it sailed through the air and struck a wall. Instantly, it rolled over and leaped again. Bigger dodged and the rat landed against a table leg. With clenched teeth, Bigger held the skillet; he was ",0.00952381,0.047619048,-0.038095238,107
afraid ,0.5,0.5,0,1
"to hurl it, fearing that he might miss. The rat squeaked and turned and ran in a narrow circle, looking for a place to hide; it leaped again past Bigger and scurried on dry rasping feet to one side of the box and then to the other, searching for the hole. Then it turned and reared upon its hind legs.  Hit  im, Bigger! ù Buddy shouted.  Kill  im! ù the woman screamed. The rat s belly pulsed with fear. Bigger advanced a step and the rat emitted a long thin song of defiance, its black beady eyes glittering, its tiny forefeet pawing the air restlessly. Bigger swung the skillet; it skidded over the floor, missing the rat, and clattered to a stop against a wall.  Goddamn! ù The rat leaped. Bigger sprang to one side. The rat stopped under a chair and let out a furious screak. Bigger moved slowly backward toward the door.  Gimme that skillet, Buddy, ù he asked quietly, not taking his eyes from the rat. Buddy extended his hand. Bigger caught the skillet and lifted it high in the air. The rat scuttled across the floor and stopped again at the box and searched quickly for the hole; then it reared once more and bared long yellow fangs, piping shrilly, belly quivering. Bigger aimed and let the skillet fly with a heavy grunt. There was a shattering of wood as the box caved in. The woman screamed and hid her face in her hands. Bigger tiptoed forward and peered.  I got  im, ù he muttered, his clenched teeth bared in a smile.  By God, I got  im. ùHe kicked the splintered box out of the way and the flat black body of the rat lay exposed, its two long yellow tusks showing distinctly. Bigger took a shoe and pounded the rat s head, crushing it, cursing hysterically:  You sonofabitch! ù The woman on the bed sank to her knees and buried her face in the quilts and sobbed:  Lord, Lord, have mercy _. ù""Aw, Mama, ù Vera whimpered, bending to her.  Don t cry. It s dead now. ù The two brothers stood over the dead rat and spoke in tones of awed ",0.014164306,0.076487252,-0.062322946,367
admiration. ,1,0,1,1
" Gee, but he s a big bastard. ù  That sonofabitch could cut your throat. ù  He s over a foot long. ù  How in hell do they get so big? ù  Eating garbage and anything else they can get. ù  Look, Bigger, there s a three-inch rip in your pant leg. ù  Yeah; he was after me, all right. ù  Please, Bigger, take  im out, ù Vera begged.  Aw, don t be so scary, ù Buddy said. The woman on the bed continued to sob. Bigger took a piece of newspaper and gingerly lifted the rat by its tail and held it out at arm s length.  Bigger, take  im out, ù Vera begged again. Bigger laughed and approached the bed with the dangling rat, swinging it to and fro like a pendulum, ",0.008403361,0.033613445,-0.025210084,133
enjoying ,0.5,0,0.5,1
"his sister s fear.  Bigger! ù Vera gasped convulsively; she screamed and swayed and closed her eyes and fell headlong across her mother and rolled limply from the bed to the floor.  Bigger, for God s sake! ù the mother sobbed, rising and bending over Vera.  Don t do that! Throw that rat out! ù He laid the rat down and started to dress.  Bigger, help me lift Vera to the bed, ù the mother said. He paused and turned round.  What s the matter? ù he asked, feigning ignorance.  Do what I asked you, will you, boy? ù He went to the bed and helped his mother lift Vera. Vera s eyes were closed. He turned away and finished dressing. He wrapped the rat in a newspaper and went out of the door and down the stairs and put it into a garbage can at the corner of an alley. When he returned to the room his mother was still bent over Vera, placing a wet towel upon her head. She straightened and faced him, her cheeks and eyes wet with tears and her lips tight with anger.  Boy, sometimes I wonder what makes you act like you do. ù  What I do now? ù he demanded ",0.015306122,0.056122449,-0.040816327,208
belligerently. ,0.5,0.5,0,1
